ticker|R1|R3|R5|R10
AEEAX|-11.93|-0.21|6.40|
AEECX|-9.62|0.48|6.53|
AEERX|-8.32|0.95|7.04|
CSABX|-7.85|1.48|7.59|
ABISX|-8.02|1.24|7.46|
APJAX|-13.54|-1.26||
APJCX|-9.84|-0.03||
APJRX|-8.55|0.45||
AAPIX|-8.06|0.96||
AAPEX|-8.10|0.95||
APCAX|-14.72|||
APCCX|-11.07|||
APCRX|-10.39|||
APCIX|-9.29|||
APCSX|-8.36|||
GOPAX|-18.20|-5.17|13.32|
GOPCX|-14.69|-4.00|13.86|
GOPRX|-13.50|-3.63|14.33|
GOPIX|-12.94|-3.02|14.95|
GOPSX|-12.95|-3.04|14.98|
PCDFX|-4.33|2.44|3.97|3.66
PCDCX|-1.79|3.18|4.14|3.35
PDIVX|0.12|4.21|5.13|4.35
GASAX|1.20|2.98|11.60|
GAMCX|5.58|4.29|12.12|
GASRX|6.96|4.69|12.61|
GASIX|7.66|5.32|13.21|
GAISX|7.57|5.14|13.00|
GMAAX|-3.63|2.65|9.35|
GMACX|0.45|3.89|9.83|
GMRRX|1.81|4.25|10.28|
GMAIX|2.46|4.94|10.92|
GAMSX|2.55|4.83|10.73|
GMMAX|-0.37|3.44|11.42|
GMMCX|3.87|4.74|11.94|
GAGRX|5.22|5.17|12.47|
GMMIX|5.94|5.61|12.92|
GAASX|6.03|5.65|12.84|
AKFAX|-10.11|||
AKFCX|-7.67|||
AKFRX|-6.27|||
AKFIX|-5.87|||
AKFSX|-5.77|||
ADLAX|-19.07|||
ADLCX|-16.89|||
AECRX|-15.84|||
AEDSX|-15.19|||
AEDIX|-15.19|||
GEGAX|-20.21|-2.08|16.19|
GEGCX|-16.76|-0.83|16.73|
GEMRX|-15.64|-0.41|17.26|
ABEMX|-15.08|0.17|17.91|
AEMSX|-15.33|-0.11|17.72|
MLSAX|-1.79|0.05|2.27|2.79
MLSCX|2.52|1.34|2.77|2.67
GLSRX|3.81|1.69|3.17|3.10
GGUIX|4.56|2.35|3.79|3.63
AELSX|4.33|2.13|3.44|3.00
AEUAX||||
AEUCX||||
AERUX||||
AEUIX||||
AEUSX||||
GLLAX|-3.74|3.91|13.49|6.37
GLLCX|0.51|5.27|14.08|6.26
GWLRX|1.95|5.75|14.61|6.75
GWLIX|2.53|6.30|15.18|7.16
GLLSX|2.53|6.25|15.01|7.08
CUGAX|-5.34|0.30|3.92|3.36
CGBCX|-2.78|1.03|4.07|3.02
AGCIX|-0.79|2.09|5.10|4.06
CGFIX|-0.98|1.88|5.00|4.02
GGNAX|-13.55|-5.89|6.05|
GGNCX|-9.75|-4.67|6.62|
GGNRX|-8.45|-4.19|7.12|
GGNIX|-8.10|-3.73|7.66|
GGNSX|-7.94|-3.69|7.70|
WVCCX|-4.36|6.43|18.66|5.26
CPVCX|-0.18|7.80|19.24|5.12
WPVAX|1.29|8.28|19.79|5.62
ABNIX|1.80|8.88|20.34|6.01
AGISX|1.67|8.73|20.26|5.97
AUYAX|1.59|||
AUYCX|4.66|||
AUYRX|6.10|||
AUYIX|6.65|||
AUYSX|6.65|||
GIGAX|-6.68|1.51|13.19|7.86
GIGCX|-2.62|2.81|13.76|7.75
GIRRX|-1.21|3.31|14.31|8.27
GIGIX|-0.71|3.85|14.87|8.81
GIGSX|-0.84|3.72|14.75|8.77
ALEAX||||
ALECX||||
ALREX||||
ALIEX||||
ALESX||||
GSXAX|22.90|11.20|21.47|9.11
GSXCX|28.51|12.68|22.10|9.03
GNSRX|30.16|13.19|22.69|9.56
GSCIX|30.75|13.79|23.28|10.08
GSXIX|30.63|13.76|23.35|10.11
NTFAX|-5.42|3.74|3.94|3.19
GTICX|-2.92|4.51|4.10|2.89
ABERX|-1.51|5.02|4.60|3.39
ABEIX|-1.02|5.54|5.12|3.91
ABESX|-1.01|5.54|5.12|3.91
AUDAX|-3.96|-0.82||
AUDIX|0.48|0.86||
AUSIX|0.48|0.87||
GXXAX|8.75|8.08|15.28|5.62
GXXCX|13.51|9.41|15.86|5.53
GGLRX|15.11|9.96|16.50|6.08
GGLIX|15.88|10.57|17.03|6.57
GXXIX|15.70|10.45|16.79|6.31
BJGQX|4.10|-0.65|10.29|
JGEIX|4.31|-0.42|10.55|
BJBHX|8.45|7.31|15.92|8.24
JHYIX|8.64|7.56|16.20|8.50
JETAX|-0.74|-1.32|7.57|
JETIX|-0.56|-1.11|7.81|
BJBIX|-0.34|-2.28|7.09|4.36
JIEIX|-0.08|-2.04|7.35|4.62
BJBGX|-1.62|3.80|6.18|4.95
JBGIX|-1.31|4.08|6.45|5.22
IMIFX|-3.07|||
IMIIX|3.10|||
AFBIX|-14.47|-14.29|-18.11|
AFBSX|-15.55|-15.26|-19.00|
FYAIX|7.44|7.22|12.71|
FYASX|6.43|6.18|11.61|
AACXX||||
AAGXX||||
AISXX||||
AVIXX||||
AAMXX||||
AATXX||||
ADKSX|33.54|14.73|28.10|
ADBNX|11.41|8.35|13.67|5.19
ADBAX|11.14|8.07|13.32|5.04
ADCNX|17.16|10.23|17.06|
ADCEX|16.85|9.94|16.70|
ADENX|19.10|11.15|22.15|7.47
ADEGX|18.82|10.85|21.81|7.37
ADRNX|1.38|4.74|7.76|3.67
ADRIX|1.11|4.48|7.51|3.51
AVGAX|2.47|3.81|11.29|
AVGCX|6.97|5.07|11.76|
AVGRX|8.99|6.24|13.00|
AVGYX|8.91|5.94|12.65|
DGPAX|-6.23|-2.96|1.64|
DGPCX|-2.21|-1.74|2.08|
DGPIX|-0.25|-0.77|3.14|
DGPYX|-0.47|-1.01|2.86|
DGDAX|-3.77|||
DGDCX|-0.92|||
DGDIX|1.07|||
DGDYX|0.85|||
DRRAX|-1.53|1.71||
DRRCX|2.69|2.91||
DRRIX|4.82|4.03||
DRRYX|4.68|3.80||
DVLAX|5.47|0.02|9.14|3.70
DICVX|10.13|1.22|9.59|3.53
DIRVX|12.44|2.44|10.94|4.76
DMCVX|19.46|12.22|25.75|9.58
DVLCX|24.78|13.55|26.24|9.37
DVLIX|27.01|14.67|27.54|10.36
DMCYX|26.98|14.53|27.29|10.25
DSCVX|34.60|13.81|28.15|10.79
DOSAX|24.73|||
DOSCX|30.36|||
DOSIX|32.65|||
DAGVX|16.11|10.33|16.98|7.01
DCGVX|21.24|11.68|17.51|6.87
DRGVX|23.50|12.80|18.64|7.88
DRGYX|23.35|12.57|18.41|7.66
DPSAX|14.89|12.66|21.66|8.27
DPSCX|19.99|14.08|22.24|8.10
DPSRX|22.16|15.12|23.37|9.13
DPSYX|22.12|14.98|23.15|8.93
DTGRX|19.66|9.47|23.00|6.08
DTGCX|24.90|10.73|23.39|5.75
DGVRX|27.28|12.02|24.90|7.12
DTMAX|-14.73|||
DTMCX|-11.07|||
DTEIX|-9.28|||
DTMYX|-9.39|||
VTGIX|17.03|1.65|2.86|2.78
IFPUX|15.13|||
JOEIX|-4.16|||
JOEAX|-4.16|||
JOEMX|-4.07|||
JOGEX||||
JOGIX||||
JOHIX|25.80|9.89||
JOHAX|25.45|9.62||
JOISX||||
JOSAX||||
JOSMX||||
CLCCX|11.37|6.78|15.93|5.03
CLSAX|13.36|7.82|17.07|6.07
CLERX|6.04|6.28|11.66|3.99
CLDEX|13.35|7.47|16.91|
CLEIX|4.15|3.38||
CLFLX|0.44|3.33||
AAANX|16.68|||
AIMNX||||
CLHAX|7.60|6.19|12.59|
MTIXX||||
CLBLX|11.37|7.61|15.69|
CLACX|17.09|9.70||
CLSHX|18.75|2.19||
CIPYX||||
CIPMX|22.89|14.07|20.00|
CIPIX|23.21|14.35|20.18|
CIPSX|24.18|14.54|20.53|
CLRVX|16.17|9.68||
FCAWX|9.26|||
FCBWX|13.20|||
FCFAX|3.31|||
FCFIX|5.94|||
FDSFX|4.26|0.88||
FACEX|16.81|10.21|16.48|6.03
FICEX|21.01|11.72|17.54|6.65
FANTX|1.83|1.72|11.86|8.06
FITNX|5.37|3.07|12.86|8.69
FAKDX|15.80|7.89|15.55|4.53
FIKDX|20.05|9.38|16.62|5.14
FIKTX|-4.91|2.75|4.10|
FADLX|-2.30|1.32|3.65|3.16
FILDX|0.29|2.34|4.39|3.66
FAKSX|16.70|9.41|20.31|
FIKSX|20.86|10.79|21.35|
FAUMX|-2.83|3.01|2.84|3.08
FIMUX|-0.45|4.02|3.55|3.57
FNATX|-3.08|||
FNRFX|0.43|||
FAHMX|19.49|10.81|17.31|6.60
FIHSX|23.92|12.34|18.39|7.23
FASTX|5.19|5.25|11.14|
FIBTX|8.99|6.66|12.18|
FATRX|1.64|5.36|8.61|5.47
FIJEX|4.14|6.43|9.35|5.97
FADVX|16.15|7.33|14.32|7.97
FIDVX|20.35|8.78|15.32|8.59
GRTHX|-4.93|-0.90||
GRTVX|20.63|10.70|22.20|
HHBUX|18.41|16.55|22.45|11.39
HYBUX|24.68|18.39|23.47|11.74
HHBAX|-4.29|1.91|3.62|3.42
HHBCX|-1.06|2.55|3.70|3.09
HHBTX|0.01|3.58|4.74|4.11
HHIAX|0.42|||
HHICX|4.00|||
HHIIX|5.06|||
HHDAX|-3.70|0.33|15.16|
HHDCX|0.90|1.39|15.54|
HHDTX|1.91|2.42|16.70|
HHAXX||||
HHIXX||||
HTRXX||||
HHRAX|15.51|11.23|16.49|5.72
HHRCX|21.01|12.41|16.89|5.51
HHRTX|22.17|13.51|18.05|6.56
HHLAX|-10.46|||
HHLCX|-6.80|||
HHLTX|-6.44|||
HIMAX|-10.25|||
HAMCX|-6.59|||
HHMTX|-6.28|||
HHQAX|9.63|7.65|10.99|
HHQCX|14.82|8.78|11.37|
HHQTX|15.97|9.87|12.48|
HSCAX||||
HHSCX||||
HSCIX|27.17|-12.23|-2.93|3.29
HHGAX|18.06|11.43|14.33|7.55
HHGCX|23.62|12.59|14.69|7.33
HHGTX|24.95|13.73|15.85|8.40
KGGAX||||
KGGIX||||
LMCOX||||
RSRAX|10.48|9.39|13.98|
RSRFX|16.20|11.39|15.34|
RSQIX||||
RSQVX||||
WDIVX|12.60|12.56||
WCDGX|12.59|12.56||
WCLGX|25.40|||
WCLCX|25.08|||
AEMDX|-15.72|1.12||
AEMGX|-10.26|-3.18|16.52|10.94
AOMCX|24.06|||
AOMAX|23.80|||
AWEIX|22.76|14.20|18.99|
CAMAX|33.11|3.71|27.09|
CAMGX|21.31|||
CAMYX|16.65|7.71|17.94|6.66
CAMIX|16.30|7.60|17.87|6.62
CAMWX|19.04|7.20|18.53|5.99
CAMOX|18.71|6.92|18.22|5.77
